document_number,title,type,publication_date,abstract,agency_names,agencies_full,html_url,pdf_url,public_inspection_pdf_url,source,text,has_abstract,title_length,abstract_length,agency_count,policy_stage,industry_tags,states,policy_stage_score,industry_score,text_score,geography_score,opportunity_score
2026-06161,"Aviastar-TU, 5 b. 7 Leningradsky prospect g. Moskva, 125040, Moscow, Russia; Order Renewing Temporary Denial of Export Privileges",Notice,2026-03-31,,"Commerce Department, Industry and Security Bureau","[{""raw_name"": ""DEPARTMENT OF COMMERCE"", ""name"": ""Commerce Department"", ""id"": 54, ""url"": ""https://www.federalregister.gov/agencies/commerce-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/54"", ""parent_id"": null, ""slug"": ""commerce-department""}, {""raw_name"": ""Bureau of Industry and Security"", ""name"": ""Industry and Security Bureau"", ""id"": 241, ""url"": ""https://www.federalregister.gov/agencies/industry-and-security-bureau"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/241"", ""parent_id"": 54, ""slug"": ""industry-and-security-bureau""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06161/aviastar-tu-5-b-7-leningradsky-prospect-g-moskva-125040-moscow-russia-order-renewing-temporary,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06161.pdf,https://public-inspection.federalregister.gov/2026-06161.pdf?1774874713,federal_register,"Aviastar-TU, 5 b. 7 Leningradsky prospect g. Moskva, 125040, Moscow, Russia; Order Renewing Temporary Denial of Export Privileges ",False,129,0,2,Notice,[],[],1,0,0,0,1
2026-06175,Agency Information Collection Activities; Comment Request; FY 2026 Child Care Access Means Parents in School Annual Performance Report Package 84.335A,Notice,2026-03-31,"In accordance with the Paperwork Reduction Act (PRA) of 1995, the Department is proposing a reinstatement without change of a previously approved information collection request (ICR).",Education Department,"[{""raw_name"": ""DEPARTMENT OF EDUCATION"", ""name"": ""Education Department"", ""id"": 126, ""url"": ""https://www.federalregister.gov/agencies/education-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/126"", ""parent_id"": null, ""slug"": ""education-department""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06175/agency-information-collection-activities-comment-request-fy-2026-child-care-access-means-parents-in,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06175.pdf,https://public-inspection.federalregister.gov/2026-06175.pdf?1774874714,federal_register,"Agency Information Collection Activities; Comment Request; FY 2026 Child Care Access Means Parents in School Annual Performance Report Package 84.335A In accordance with the Paperwork Reduction Act (PRA) of 1995, the Department is proposing a reinstatement without change of a previously approved information collection request (ICR).",True,150,183,1,Notice,"['housing', 'environment']",[],1,5,1,0,7
2026-06130,Proposed Reallotment of Fiscal Year 2025 Funds for the Low Income Home Energy Assistance Program,Notice,2026-03-31,"The ACF OCS announces a preliminary determination that funds from the federal fiscal year 2025 (FY25) Low Income Home Energy Assistance Program (LIHEAP) are available for reallocation to states, territories, tribes, and tribal organizations that received FY26 direct LIHEAP awards. The purpose of this proposed action is to redistribute FY25 annual LIHEAP funds and FY24 and FY25 Infrastructure Investment and Jobs Act (IIJA) funds that recipients were unable to obligate or carry over to FY26. No subrecipients of these recipients or other entities may apply for these funds.","Health and Human Services Department, Children and Families Administration","[{""raw_name"": ""DEPARTMENT OF HEALTH AND HUMAN SERVICES"", ""name"": ""Health and Human Services Department"", ""id"": 221, ""url"": ""https://www.federalregister.gov/agencies/health-and-human-services-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/221"", ""parent_id"": null, ""slug"": ""health-and-human-services-department""}, {""raw_name"": ""Administration for Children and Families"", ""name"": ""Children and Families Administration"", ""id"": 49, ""url"": ""https://www.federalregister.gov/agencies/children-and-families-administration"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/49"", ""parent_id"": 221, ""slug"": ""children-and-families-administration""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06130/proposed-reallotment-of-fiscal-year-2025-funds-for-the-low-income-home-energy-assistance-program,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06130.pdf,https://public-inspection.federalregister.gov/2026-06130.pdf?1774874708,federal_register,"Proposed Reallotment of Fiscal Year 2025 Funds for the Low Income Home Energy Assistance Program The ACF OCS announces a preliminary determination that funds from the federal fiscal year 2025 (FY25) Low Income Home Energy Assistance Program (LIHEAP) are available for reallocation to states, territories, tribes, and tribal organizations that received FY26 direct LIHEAP awards. The purpose of this proposed action is to redistribute FY25 annual LIHEAP funds and FY24 and FY25 Infrastructure Investment and Jobs Act (IIJA) funds that recipients were unable to obligate or carry over to FY26. No subrecipients of these recipients or other entities may apply for these funds.",True,96,576,2,Notice,"['energy', 'finance']",[],1,4,2,0,7
2026-06226,Center for Scientific Review; Notice of Closed Meetings,Notice,2026-03-31,,"Health and Human Services Department, National Institutes of Health","[{""raw_name"": ""DEPARTMENT OF HEALTH AND HUMAN SERVICES"", ""name"": ""Health and Human Services Department"", ""id"": 221, ""url"": ""https://www.federalregister.gov/agencies/health-and-human-services-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/221"", ""parent_id"": null, ""slug"": ""health-and-human-services-department""}, {""raw_name"": ""National Institutes of Health"", ""name"": ""National Institutes of Health"", ""id"": 353, ""url"": ""https://www.federalregister.gov/agencies/national-institutes-of-health"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/353"", ""parent_id"": 221, ""slug"": ""national-institutes-of-health""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06226/center-for-scientific-review-notice-of-closed-meetings,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06226.pdf,https://public-inspection.federalregister.gov/2026-06226.pdf?1774874720,federal_register,Center for Scientific Review; Notice of Closed Meetings ,False,55,0,2,Notice,[],[],1,0,0,0,1
2026-06225,"Notice of Realty Action: Direct Sale of Public Lands in La Paz County, AZ",Notice,2026-03-31,"The Bureau of Land Management (BLM) proposes a non-competitive (direct) sale of a parcel of BLM-managed public lands in Arizona to permanently resolve management challenges of an isolated tract without public access, to resolve its split-estate status, and to facilitate orderly economic development in a way that would benefit local communities. The parcel, located in La Paz County, contains 640 acres and, if approved, would be sold to 174 Power Global, LLC. The sale would be subject to the applicable provisions of the Federal Land Policy and Management Act of 1976, as amended (FLPMA), and the BLM land sale regulations.","Interior Department, Land Management Bureau","[{""raw_name"": ""DEPARTMENT OF THE INTERIOR"", ""name"": ""Interior Department"", ""id"": 253, ""url"": ""https://www.federalregister.gov/agencies/interior-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/253"", ""parent_id"": null, ""slug"": ""interior-department""}, {""raw_name"": ""Bureau of Land Management"", ""name"": ""Land Management Bureau"", ""id"": 275, ""url"": ""https://www.federalregister.gov/agencies/land-management-bureau"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/275"", ""parent_id"": 253, ""slug"": ""land-management-bureau""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06225/notice-of-realty-action-direct-sale-of-public-lands-in-la-paz-county-az,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06225.pdf,https://public-inspection.federalregister.gov/2026-06225.pdf?1774874720,federal_register,"Notice of Realty Action: Direct Sale of Public Lands in La Paz County, AZ The Bureau of Land Management (BLM) proposes a non-competitive (direct) sale of a parcel of BLM-managed public lands in Arizona to permanently resolve management challenges of an isolated tract without public access, to resolve its split-estate status, and to facilitate orderly economic development in a way that would benefit local communities. The parcel, located in La Paz County, contains 640 acres and, if approved, would be sold to 174 Power Global, LLC. The sale would be subject to the applicable provisions of the Federal Land Policy and Management Act of 1976, as amended (FLPMA), and the BLM land sale regulations.",True,73,626,2,Notice,['energy'],[],1,2,2,0,5
2026-06208,Meeting of the Religious Liberty Commission,Notice,2026-03-31,The DOJ is publishing this notice to announce the seventh Federal advisory committee meeting of the Religious Liberty Commission (Commission).,Justice Department,"[{""raw_name"": ""DEPARTMENT OF JUSTICE"", ""name"": ""Justice Department"", ""id"": 268, ""url"": ""https://www.federalregister.gov/agencies/justice-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/268"", ""parent_id"": null, ""slug"": ""justice-department""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06208/meeting-of-the-religious-liberty-commission,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06208.pdf,https://public-inspection.federalregister.gov/2026-06208.pdf?1774642512,federal_register,Meeting of the Religious Liberty Commission The DOJ is publishing this notice to announce the seventh Federal advisory committee meeting of the Religious Liberty Commission (Commission).,True,43,142,1,Notice,[],[],1,0,0,0,1
2026-06191,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Multiple Departmental Offices Information Collection Requests,Notice,2026-03-31,"The Department of the Treasury will submit the following information collection requests to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995, on or after the date of publication of this notice. The public is invited to submit comments on these requests.",Treasury Department,"[{""raw_name"": ""DEPARTMENT OF THE TREASURY"", ""name"": ""Treasury Department"", ""id"": 497, ""url"": ""https://www.federalregister.gov/agencies/treasury-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/497"", ""parent_id"": null, ""slug"": ""treasury-department""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06191/agency-information-collection-activities-submission-for-omb-review-comment-request-multiple,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06191.pdf,https://public-inspection.federalregister.gov/2026-06191.pdf?1774874716,federal_register,"Agency Information Collection Activities; Submission for OMB Review; Comment Request; Multiple Departmental Offices Information Collection Requests The Department of the Treasury will submit the following information collection requests to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995, on or after the date of publication of this notice. The public is invited to submit comments on these requests.",True,147,326,1,Notice,['environment'],[],1,2,1,0,4
2026-06192,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Information Collection Requirements in Connection With the Imposition of Special Measures,Notice,2026-03-31,"The Department of the Treasury will submit the following information collection requests to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995, on or after the date of publication of this notice. The public is invited to submit comments on these requests.",Treasury Department,"[{""raw_name"": ""DEPARTMENT OF THE TREASURY"", ""name"": ""Treasury Department"", ""id"": 497, ""url"": ""https://www.federalregister.gov/agencies/treasury-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/497"", ""parent_id"": null, ""slug"": ""treasury-department""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06192/agency-information-collection-activities-submission-for-omb-review-comment-request-information,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06192.pdf,https://public-inspection.federalregister.gov/2026-06192.pdf?1774874716,federal_register,"Agency Information Collection Activities; Submission for OMB Review; Comment Request; Information Collection Requirements in Connection With the Imposition of Special Measures The Department of the Treasury will submit the following information collection requests to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995, on or after the date of publication of this notice. The public is invited to submit comments on these requests.",True,175,326,1,Notice,['environment'],[],1,2,1,0,4
2026-06189,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Multiple Internal Revenue Service Information Collection Requests,Notice,2026-03-31,"The Department of the Treasury will submit the following information collection requests to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995, on or after the date of publication of this notice. The public is invited to submit comments on these requests.",Treasury Department,"[{""raw_name"": ""DEPARTMENT OF THE TREASURY"", ""name"": ""Treasury Department"", ""id"": 497, ""url"": ""https://www.federalregister.gov/agencies/treasury-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/497"", ""parent_id"": null, ""slug"": ""treasury-department""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06189/agency-information-collection-activities-submission-for-omb-review-comment-request-multiple-internal,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06189.pdf,https://public-inspection.federalregister.gov/2026-06189.pdf?1774874716,federal_register,"Agency Information Collection Activities; Submission for OMB Review; Comment Request; Multiple Internal Revenue Service Information Collection Requests The Department of the Treasury will submit the following information collection requests to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995, on or after the date of publication of this notice. The public is invited to submit comments on these requests.",True,151,326,1,Notice,['environment'],[],1,2,1,0,4
2026-06158,"Self-Regulatory Organizations; NYSE Arca, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Modify the NYSE Arca Options Fee Schedule To Waive the Combined Cap on Submitting Broker Credits Paid for QCC Trades and Floor Broker Rebates Paid Through the Manual Billable Rebate Program for the Month of March 2026",Notice,2026-03-31,,Securities and Exchange Commission,"[{""raw_name"": ""SECURITIES AND EXCHANGE COMMISSION"", ""name"": ""Securities and Exchange Commission"", ""id"": 466, ""url"": ""https://www.federalregister.gov/agencies/securities-and-exchange-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/466"", ""parent_id"": null, ""slug"": ""securities-and-exchange-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06158/self-regulatory-organizations-nyse-arca-inc-notice-of-filing-and-immediate-effectiveness-of-a,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06158.pdf,https://public-inspection.federalregister.gov/2026-06158.pdf?1774874713,federal_register,"Self-Regulatory Organizations; NYSE Arca, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Modify the NYSE Arca Options Fee Schedule To Waive the Combined Cap on Submitting Broker Credits Paid for QCC Trades and Floor Broker Rebates Paid Through the Manual Billable Rebate Program for the Month of March 2026 ",False,339,0,1,Notice,[],[],1,0,0,0,1
2026-06137,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Day of Service Application Instructions (MLK & 9/11),Notice,2026-03-31,"The Corporation for National and Community Service, operating as AmeriCorps, has submitted a public information collection request (ICR) entitled Day of Service Application Instructions (MLK & 9/11) for review and approval in accordance with the Paperwork Reduction Act.",Corporation for National and Community Service,"[{""raw_name"": ""CORPORATION FOR NATIONAL AND COMMUNITY SERVICE"", ""name"": ""Corporation for National and Community Service"", ""id"": 91, ""url"": ""https://www.federalregister.gov/agencies/corporation-for-national-and-community-service"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/91"", ""parent_id"": null, ""slug"": ""corporation-for-national-and-community-service""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06137/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-for,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06137.pdf,https://public-inspection.federalregister.gov/2026-06137.pdf?1774874709,federal_register,"Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Day of Service Application Instructions (MLK & 9/11) The Corporation for National and Community Service, operating as AmeriCorps, has submitted a public information collection request (ICR) entitled Day of Service Application Instructions (MLK & 9/11) for review and approval in accordance with the Paperwork Reduction Act.",True,186,270,1,Notice,[],[],1,0,1,0,2
2026-06127,Initiation of Antidumping and Countervailing Duty Administrative Reviews,Notice,2026-03-31,"The U.S. Department of Commerce (Commerce) has received requests to conduct administrative reviews of various antidumping duty (AD) and countervailing duty (CVD) orders with February anniversary dates. In accordance with Commerce's regulations, we are initiating those administrative reviews.","Commerce Department, International Trade Administration","[{""raw_name"": ""DEPARTMENT OF COMMERCE"", ""name"": ""Commerce Department"", ""id"": 54, ""url"": ""https://www.federalregister.gov/agencies/commerce-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/54"", ""parent_id"": null, ""slug"": ""commerce-department""}, {""raw_name"": ""International Trade Administration"", ""name"": ""International Trade Administration"", ""id"": 261, ""url"": ""https://www.federalregister.gov/agencies/international-trade-administration"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/261"", ""parent_id"": 54, ""slug"": ""international-trade-administration""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06127/initiation-of-antidumping-and-countervailing-duty-administrative-reviews,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06127.pdf,https://public-inspection.federalregister.gov/2026-06127.pdf?1774874708,federal_register,"Initiation of Antidumping and Countervailing Duty Administrative Reviews The U.S. Department of Commerce (Commerce) has received requests to conduct administrative reviews of various antidumping duty (AD) and countervailing duty (CVD) orders with February anniversary dates. In accordance with Commerce's regulations, we are initiating those administrative reviews.",True,72,292,2,Notice,['environment'],[],1,2,1,0,4
2026-06170,Agency Information Collection Activities: Proposed Collection; Comment Request,Notice,2026-03-31,"The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' intention to collect information from the public. Under the Paperwork Reduction Act of 1995 (PRA), federal agencies are required to publish notice in the Federal Register concerning each proposed collection of information (including each proposed extension or reinstatement of an existing collection of information) and to allow 60 days for public comment on the proposed action. Interested persons are invited to send comments regarding our burden estimates or any other aspect of this collection of information, including the necessity and utility of the proposed information collection for the proper performance of the agency's functions, the accuracy of the estimated burden, ways to enhance the quality, utility, and clarity of the information to be collected, and the use of automated collection techniques or other forms of information technology to minimize the information collection burden.","Health and Human Services Department, Centers for Medicare & Medicaid Services","[{""raw_name"": ""DEPARTMENT OF HEALTH AND HUMAN SERVICES"", ""name"": ""Health and Human Services Department"", ""id"": 221, ""url"": ""https://www.federalregister.gov/agencies/health-and-human-services-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/221"", ""parent_id"": null, ""slug"": ""health-and-human-services-department""}, {""raw_name"": ""Centers for Medicare & Medicaid Services"", ""name"": ""Centers for Medicare & Medicaid Services"", ""id"": 45, ""url"": ""https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/45"", ""parent_id"": 221, ""slug"": ""centers-for-medicare-medicaid-services""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06170/agency-information-collection-activities-proposed-collection-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06170.pdf,https://public-inspection.federalregister.gov/2026-06170.pdf?1774874714,federal_register,"Agency Information Collection Activities: Proposed Collection; Comment Request The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' intention to collect information from the public. Under the Paperwork Reduction Act of 1995 (PRA), federal agencies are required to publish notice in the Federal Register concerning each proposed collection of information (including each proposed extension or reinstatement of an existing collection of information) and to allow 60 days for public comment on the proposed action. Interested persons are invited to send comments regarding our burden estimates or any other aspect of this collection of information, including the necessity and utility of the proposed information collection for the proper performance of the agency's functions, the accuracy of the estimated burden, ways to enhance the quality, utility, and clarity of the information to be collected, and the use of automated collection techniques or other forms of information technology to minimize the information collection burden.",True,78,1015,2,Notice,[],[],1,0,2,0,3
2026-06209,"30-Day Notice of Proposed Information Collection: Request To Change End-User, End-Use and/or Destination of Hardware and Open General Licenses",Notice,2026-03-31,The Department of State has submitted the information collection described below to the Office of Management and Budget (OMB) for approval. In accordance with the Paperwork Reduction Act of 1995 we are requesting comments on this collection from all interested individuals and organizations. The purpose of this Notice is to allow 30 days for public comment.,State Department,"[{""raw_name"": ""DEPARTMENT OF STATE"", ""name"": ""State Department"", ""id"": 476, ""url"": ""https://www.federalregister.gov/agencies/state-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/476"", ""parent_id"": null, ""slug"": ""state-department""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06209/30-day-notice-of-proposed-information-collection-request-to-change-end-user-end-use-andor,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06209.pdf,https://public-inspection.federalregister.gov/2026-06209.pdf?1774874718,federal_register,"30-Day Notice of Proposed Information Collection: Request To Change End-User, End-Use and/or Destination of Hardware and Open General Licenses The Department of State has submitted the information collection described below to the Office of Management and Budget (OMB) for approval. In accordance with the Paperwork Reduction Act of 1995 we are requesting comments on this collection from all interested individuals and organizations. The purpose of this Notice is to allow 30 days for public comment.",True,142,358,1,Notice,['environment'],[],1,2,1,0,4
2026-06139,Information Collection: Infrastructure Investment and Jobs Act Financial Assistance to Facilities That Purchase and Process Byproducts for Ecosystem Restoration (ALN 10.725) Wood Products Infrastructure Assistance (WPIA),Notice,2026-03-31,"In accordance with the Paperwork Reduction Act of 1995, the Forest Service (Agency) is seeking comments from all interested individuals and organizations on the extension with no revision of a currently approved information collection, Infrastructure Investment and Jobs Act Financial Assistance to Facilities that Purchase and Process Byproducts for Ecosystem Restoration (ALN 10.725) Wood Products Infrastructure Assistance (WPIA).","Agriculture Department, Forest Service","[{""raw_name"": ""DEPARTMENT OF AGRICULTURE"", ""name"": ""Agriculture Department"", ""id"": 12, ""url"": ""https://www.federalregister.gov/agencies/agriculture-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/12"", ""parent_id"": null, ""slug"": ""agriculture-department""}, {""raw_name"": ""Forest Service"", ""name"": ""Forest Service"", ""id"": 209, ""url"": ""https://www.federalregister.gov/agencies/forest-service"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/209"", ""parent_id"": 12, ""slug"": ""forest-service""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06139/information-collection-infrastructure-investment-and-jobs-act-financial-assistance-to-facilities,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06139.pdf,https://public-inspection.federalregister.gov/2026-06139.pdf?1774874709,federal_register,"Information Collection: Infrastructure Investment and Jobs Act Financial Assistance to Facilities That Purchase and Process Byproducts for Ecosystem Restoration (ALN 10.725) Wood Products Infrastructure Assistance (WPIA) In accordance with the Paperwork Reduction Act of 1995, the Forest Service (Agency) is seeking comments from all interested individuals and organizations on the extension with no revision of a currently approved information collection, Infrastructure Investment and Jobs Act Financial Assistance to Facilities that Purchase and Process Byproducts for Ecosystem Restoration (ALN 10.725) Wood Products Infrastructure Assistance (WPIA).",True,220,433,2,Notice,"['housing', 'finance']",[],1,5,1,0,7
2026-06215,Proposed Collection; Comment Request,Notice,2026-03-31,"In compliance with the Paperwork Reduction Act of 1995, the United States Military Academy (USMA) announces a proposed public information collection and seeks public comment on the provisions thereof. Comments are invited on: whether the proposed collection of information is necessary for the proper performance of the functions of the agency, including whether the information shall have practical utility; the accuracy of the agency's estimate of the burden of the proposed information collection; ways to enhance the quality, utility, and clarity of the information to be collected; and ways to minimize the burden of the information collection on respondents, including through the use of automated collection techniques or other forms of information technology.","Defense Department, Army Department","[{""raw_name"": ""DEPARTMENT OF DEFENSE"", ""name"": ""Defense Department"", ""id"": 103, ""url"": ""https://www.federalregister.gov/agencies/defense-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/103"", ""parent_id"": null, ""slug"": ""defense-department""}, {""raw_name"": ""Department of the Army"", ""name"": ""Army Department"", ""id"": 32, ""url"": ""https://www.federalregister.gov/agencies/army-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/32"", ""parent_id"": 103, ""slug"": ""army-department""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06215/proposed-collection-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06215.pdf,https://public-inspection.federalregister.gov/2026-06215.pdf?1774874718,federal_register,"Proposed Collection; Comment Request In compliance with the Paperwork Reduction Act of 1995, the United States Military Academy (USMA) announces a proposed public information collection and seeks public comment on the provisions thereof. Comments are invited on: whether the proposed collection of information is necessary for the proper performance of the functions of the agency, including whether the information shall have practical utility; the accuracy of the agency's estimate of the burden of the proposed information collection; ways to enhance the quality, utility, and clarity of the information to be collected; and ways to minimize the burden of the information collection on respondents, including through the use of automated collection techniques or other forms of information technology.",True,36,767,2,Notice,[],[],1,0,2,0,3
2026-06199,"Delvin Warner; Notice of Pending Jurisdictional Inquiry, and Soliciting Comments, Protests and Motions To Intervene",Notice,2026-03-31,,"Energy Department, Federal Energy Regulatory Commission","[{""raw_name"": ""DEPARTMENT OF ENERGY"", ""name"": ""Energy Department"", ""id"": 136, ""url"": ""https://www.federalregister.gov/agencies/energy-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/136"", ""parent_id"": null, ""slug"": ""energy-department""}, {""raw_name"": ""Federal Energy Regulatory Commission"", ""name"": ""Federal Energy Regulatory Commission"", ""id"": 167, ""url"": ""https://www.federalregister.gov/agencies/federal-energy-regulatory-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/167"", ""parent_id"": 136, ""slug"": ""federal-energy-regulatory-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06199/delvin-warner-notice-of-pending-jurisdictional-inquiry-and-soliciting-comments-protests-and-motions,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06199.pdf,https://public-inspection.federalregister.gov/2026-06199.pdf?1774874717,federal_register,"Delvin Warner; Notice of Pending Jurisdictional Inquiry, and Soliciting Comments, Protests and Motions To Intervene ",False,115,0,2,Notice,[],[],1,0,0,0,1
2026-06220,Proposed Collection; Comment Request,Notice,2026-03-31,"In compliance with the Paperwork Reduction Act of 1995, the United States (U.S.) Army Installation Management Command, G1 Passport Services Division/DoD Passport and Visa announces a proposed public information collection and seeks public comment on the provisions thereof. Comments are invited on: whether the proposed collection of information is necessary for the proper performance of the functions of the agency, including whether the information shall have practical utility; the accuracy of the agency's estimate of the burden of the proposed information collection; ways to enhance the quality, utility, and clarity of the information to be collected; and ways to minimize the burden of the information collection on respondents, including through the use of automated collection techniques or other forms of information technology.","Defense Department, Army Department","[{""raw_name"": ""DEPARTMENT OF DEFENSE"", ""name"": ""Defense Department"", ""id"": 103, ""url"": ""https://www.federalregister.gov/agencies/defense-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/103"", ""parent_id"": null, ""slug"": ""defense-department""}, {""raw_name"": ""Department of the Army"", ""name"": ""Army Department"", ""id"": 32, ""url"": ""https://www.federalregister.gov/agencies/army-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/32"", ""parent_id"": 103, ""slug"": ""army-department""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06220/proposed-collection-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06220.pdf,https://public-inspection.federalregister.gov/2026-06220.pdf?1774874719,federal_register,"Proposed Collection; Comment Request In compliance with the Paperwork Reduction Act of 1995, the United States (U.S.) Army Installation Management Command, G1 Passport Services Division/DoD Passport and Visa announces a proposed public information collection and seeks public comment on the provisions thereof. Comments are invited on: whether the proposed collection of information is necessary for the proper performance of the functions of the agency, including whether the information shall have practical utility; the accuracy of the agency's estimate of the burden of the proposed information collection; ways to enhance the quality, utility, and clarity of the information to be collected; and ways to minimize the burden of the information collection on respondents, including through the use of automated collection techniques or other forms of information technology.",True,36,840,2,Notice,[],[],1,0,2,0,3
